Nome arquivo,Casos de Teste,Variáveis,Cláusulas,Tempo Real,Tempo User,Tempo Sys
simples,3,2,3,0,0,0
uf20-0846,7,20,91,0,0,0
uf20-01,10,20,91,0,0,0
uf20-095,24,20,91,0,0,0
uf20-0216,42,20,91,0,0,0
uf20-0819,77,20,91,0,0,0
uf20-0115,84,20,91,0,0,0
uf20-077,116,20,91,0,0,0
uf20-0123,121,20,91,0,0,0
uf20-012,146,20,91,0,0,0
uf20-018,1290,20,91,0.04,0.01,0.05
uf20-0462,1621,20,91,0.05,0.04,0.04
prova,2539,50,268,0.1,0.05,0.1
bmc-ibm-3,13467,14930,72106,14.64,15.3,1.68
bmc-ibm-1,21731,9685,55870,13.1,14.33,2.49
bmc-ibm-2,94940,2810,11683,15.4,15.87,6.11
flat30-36,231772,90,300,8.9,3.66,10
uf50-01,480481,50,218,18.7,8.32,20.77
flat175-34,568693,525,1951,32.12,19.74,24.61
flat175-44,594166,525,1951,33.21,20.48,25.43
flat125-77,823697,375,1403,41.74,23.02,36.07
flat125-55,852061,375,1403,43.41,24.85,36.43
uf250-01,985382,250,1065,49.47,28.52,42.77
uf225-01,1112791,225,960,54.06,30.56,48.09
uf200-01,1215206,200,860,58.61,33.18,52.17
flat75-33,1374335,225,840,62.32,31.7,59.45
flat75-90,1401674,225,840,62.89,31.44,60.52
uf175-01,1457154,175,753,67.74,36.8,62.94
uf150-01,1719560,150,645,76.42,38.96,75.11
uf125-01,2062434,125,538,89.28,45.51,88.76
uf75-01,2129068,75,325,87.04,41.04,91.89
uf100-01,2451602,100,430,103.35,50.75,106.04
pombos-10,2844584,110,561,114.22,48.68,123.41
flat30-97,3679939,90,300,142,58.98,158.58
